cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
5,-37,4,0.014960,0.000174,0.000003,accepted,accepted,0.118875,0.685045,0.150000,5128,False,15.172405,18.182198,0.716330,15.272978,18.182674,0.708537,-0.997000,-0.004714,0.077255
5,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.114953,0.694030,0.150000,5128,False,15.179523,18.182198,0.757407,15.276184,18.182655,0.749917,-0.997000,-0.004714,0.077255
5,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.111030,0.703141,0.150000,5128,False,15.186641,18.182198,0.798484,15.279391,18.182636,0.791297,-0.997000,-0.004714,0.077255
5,-34,10,0.037400,0.000174,0.000007,accepted,accepted,0.170975,0.711262,0.150000,5128,False,15.129698,18.182198,0.839562,15.282214,18.182919,0.827744,-0.997000,-0.004714,0.077255
5,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.117377,0.721472,0.150000,5128,False,15.186641,18.182198,0.880639,15.285719,18.182667,0.872962,-0.997000,-0.004714,0.077255
5,-32,3,0.011220,0.000174,0.000002,accepted,accepted,0.127647,0.730675,0.150000,5128,False,15.179523,18.182198,0.921716,15.288840,18.182716,0.913245,-0.997000,-0.004714,0.077255
5,-31,2,0.007480,0.000174,0.000001,accepted,accepted,0.116871,0.318710,0.150000,8689,False,15.186641,18.182198,0.962793,15.275538,18.188656,1.005584,-0.899124,-0.065333,-0.432790
5,-29,3,0.011220,0.000174,0.000002,accepted,accepted,0.087979,0.345683,0.150000,5127,False,15.179523,18.182198,1.044948,15.242909,18.187115,1.074188,-0.905801,-0.070259,-0.417838
5,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.057920,0.350798,0.150000,5127,False,15.193759,18.182198,1.086025,15.229918,18.185003,1.102705,-0.905801,-0.070259,-0.417838
5,-27,1,0.003740,0.000174,0.000001,accepted,accepted,0.040756,0.357065,0.150000,5127,False,15.193759,18.182198,1.127102,15.214372,18.183796,1.136611,-0.905801,-0.070259,-0.417838
5,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.023592,0.363543,0.150000,5127,False,15.193759,18.182198,1.168180,15.198825,18.182590,1.170516,-0.905801,-0.070259,-0.417838
5,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.006429,0.370242,0.150000,5127,False,15.193759,18.182198,1.209257,15.183278,18.181385,1.204422,-0.905801,-0.070259,-0.417838
5,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.027899,0.384342,0.150000,5127,False,15.193759,18.182198,1.291411,15.152184,18.178972,1.272233,-0.905801,-0.070259,-0.417838
5,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.045062,0.391767,0.150000,5127,False,15.193759,18.182198,1.332489,15.136638,18.177767,1.306139,-0.905801,-0.070259,-0.417838
5,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.079389,0.407423,0.150000,5127,False,15.193759,18.182198,1.414643,15.105544,18.175356,1.373950,-0.905801,-0.070259,-0.417838
5,-18,1,0.003740,0.000174,0.000001,accepted,accepted,0.113717,0.424242,0.150000,5127,False,15.193759,18.182198,1.496798,15.074450,18.172943,1.441761,-0.905801,-0.070259,-0.417838
5,-17,1,0.003740,0.000174,0.000001,accepted,accepted,0.130880,0.433124,0.150000,5127,False,15.193759,18.182198,1.537875,15.058904,18.171738,1.475667,-0.905801,-0.070259,-0.417838
5,-13,1,0.003740,0.000174,0.000001,accepted,accepted,0.199535,0.472152,0.150000,5127,False,15.193759,18.182198,1.702184,14.996716,18.166914,1.611290,-0.905801,-0.070259,-0.417838
6,-40,12,0.044880,0.000174,0.000008,accepted,accepted,0.167351,0.661481,0.150000,5128,False,15.115462,18.232233,0.611989,15.264365,18.232939,0.600450,-0.997000,-0.004714,0.077255
6,-39,3,0.011220,0.000174,0.000002,accepted,accepted,0.105197,0.667090,0.150000,5128,False,15.179523,18.232233,0.634175,15.266458,18.232645,0.627439,-0.997000,-0.004714,0.077255
6,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.094177,0.675908,0.150000,5128,False,15.193759,18.232233,0.675253,15.269707,18.232594,0.669368,-0.997000,-0.004714,0.077255
6,-37,4,0.014960,0.000174,0.000003,accepted,accepted,0.118639,0.684268,0.150000,5128,False,15.172405,18.232233,0.716330,15.272742,18.232708,0.708555,-0.997000,-0.004714,0.077255
