cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,triangle_index,src_x,src_y,src_z,mapped_x,mapped_y,mapped_z
2,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.085630,0.408839,5127,15.193759,18.032089,1.044948,15.267699,18.037825,1.079056
2,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.016975,0.435763,5127,15.193759,18.032089,1.209257,15.205512,18.033001,1.214679
2,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.000188,0.442988,5127,15.193759,18.032089,1.250334,15.189965,18.031796,1.248584
3,-40,15,0.056100,0.000174,0.000010,accepted,accepted,0.189348,0.711547,5128,15.094109,18.082125,0.611989,15.278900,18.082998,0.597669
3,-39,4,0.014960,0.000174,0.000003,accepted,accepted,0.113000,0.717130,5128,15.172405,18.082125,0.634175,15.281078,18.082638,0.625755
3,-37,3,0.011220,0.000174,0.000002,accepted,accepted,0.112251,0.733703,5128,15.179523,18.082125,0.716330,15.287449,18.082634,0.707967
3,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.101231,0.742280,5128,15.193759,18.082125,0.757407,15.290698,18.082582,0.749896
3,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.111501,0.750593,5128,15.186641,18.082125,0.798484,15.293819,18.082630,0.790179
3,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.121772,0.758973,5128,15.179523,18.082125,0.839562,15.296941,18.082680,0.830463
3,-31,2,0.007480,0.000174,0.000001,accepted,accepted,0.123409,0.382799,8689,15.186641,18.082125,0.962793,15.294004,18.089926,1.014472
3,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.020868,0.450914,5127,15.193759,18.082125,1.291411,15.171234,18.080378,1.281021
3,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.038031,0.458602,5127,15.193759,18.082125,1.332489,15.155687,18.079172,1.314927
3,-16,1,0.003740,0.000174,0.000001,accepted,accepted,0.141013,0.509833,5127,15.193759,18.082125,1.578952,15.062407,18.071938,1.518360
4,-40,14,0.052360,0.000174,0.000009,accepted,accepted,0.182015,0.711538,5128,15.101227,18.132162,0.611989,15.278708,18.133001,0.598236
4,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.098572,0.717230,5128,15.186641,18.132162,0.634175,15.280929,18.132607,0.626869
4,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.094648,0.725528,5128,15.193759,18.132162,0.675253,15.284135,18.132589,0.668250
4,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.097822,0.733800,5128,15.193759,18.132162,0.716330,15.287299,18.132605,0.709082
4,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.104169,0.750572,5128,15.193759,18.132162,0.798484,15.293627,18.132633,0.790746
4,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.121536,0.758832,5128,15.179523,18.132162,0.839562,15.296705,18.132715,0.830481
4,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.110515,0.767612,5128,15.193759,18.132162,0.880639,15.299954,18.132664,0.872410
4,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.113740,0.382387,8689,15.193759,18.132162,0.962793,15.292429,18.139332,1.010288
4,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.095962,0.388291,8689,15.193759,18.132162,1.003871,15.276444,18.138170,1.043671
4,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.016392,0.436942,5127,15.186641,18.132162,1.209257,15.197865,18.133034,1.214435
4,-15,1,0.003740,0.000174,0.000001,accepted,accepted,0.161692,0.519699,5127,15.193759,18.132162,1.620029,15.043675,18.120522,1.550797
4,-9,1,0.003740,0.000174,0.000001,accepted,accepted,0.264674,0.583105,5127,15.193759,18.132162,1.866493,14.950394,18.113287,1.754230
5,-40,11,0.041140,0.000174,0.000007,accepted,accepted,0.160490,0.711470,5128,15.122581,18.182198,0.611989,15.278601,18.182936,0.599899
5,-38,3,0.011220,0.000174,0.000002,accepted,accepted,0.108606,0.724891,5128,15.179523,18.182198,0.675253,15.283814,18.182690,0.667171
5,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.097586,0.733369,5128,15.193759,18.182198,0.716330,15.287064,18.182638,0.709100
5,-36,2,0.007480,0.000174,0.000001,accepted,accepted,0.107856,0.741591,5128,15.186641,18.182198,0.757407,15.290185,18.182688,0.749384
5,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.111030,0.749997,5128,15.186641,18.182198,0.798484,15.293349,18.182701,0.790216
5,-33,3,0.011220,0.000174,0.000002,accepted,accepted,0.124473,0.766888,5128,15.179523,18.182198,0.880639,15.299634,18.182766,0.871332
5,-31,2,0.007480,0.000174,0.000001,accepted,accepted,0.116871,0.382757,8689,15.186641,18.182198,0.962793,15.288126,18.189571,1.011643
